country,year,S_proxy,N_proxy,R_proxy,Crisis,_N_stability,N_noise,_S,_N_raw,_N,_R,E
GBR,2019,1.44982588291168,0.526694297790527,92.5166,0.0130947699567425,0.7272116557657824,0.2727883442342176,0.9025477978586103,0.2734241014826689,0.2734241014826689,0.9863312053821739,1.5
GBR,2020,1.33215415477753,0.483050256967545,94.8182,0.0505256648113775,0.6962901647105224,0.3037098352894776,0.8639371915218981,0.31002146115298684,0.31002146115298684,1.0,1.5
GBR,2021,1.23967301845551,0.489994138479233,96.1965,0.025918554807105,0.7103861070480468,0.28961389295195317,0.8527160181877923,0.28590957120576466,0.28590957120576466,0.9828183108917777,1.5
GBR,2022,1.23809003829956,0.533176064491272,96.2989,0.2961024415739535,0.7422230816576234,0.2577769183423766,0.8418280223723641,0.2645115277821628,0.2645115277821628,0.9888392764068324,1.5
GBR,2023,1.16114270687103,0.514935672283173,96.2988,0.239698353396982,0.7692263486177044,0.23077365138229555,0.7993747945956747,0.24281391219550744,0.24281391219550744,0.9772205018463824,1.5
GBR,2024,,,,0.0635786473179605,0.5,0.5,0.5,0.5,0.5,,
IND,1996,-0.111606687307358,-0.972584128379822,0.0463,0.3488576169132265,0.0384579492350074,0.9615420507649926,0.1270536425624707,0.9821173727579283,0.9821173727579283,0.0013500032530198878,0.0001746459593578927
IND,1997,,,0.0708,0.258212605731362,0.5,0.5,0.5,0.5,0.5,0.0009247327479546713,0.0009247327479546713
IND,1998,-0.11445739865303,-1.20082128047943,0.139,0.5615419488398851,0.0,1.0,0.12930515703718914,1.0,1.0,0.0,0.0
IND,1999,,,0.273,0.1334910190187965,0.5,0.5,0.5,0.5,0.5,0.0,0.0
IND,2000,-0.187351524829865,-1.00120759010315,0.527532,0.1004717955225955,0.07026604301585627,0.9297339569841437,0.0980631342998616,0.9668501325047327,0.9668501325047327,0.0,0.0
IND,2001,,,0.660146,0.088964656117819,0.5,0.5,0.5,0.5,0.5,0.0,0.0
IND,2002,-0.189068421721458,-1.21066498756409,1.53788,0.1148576019647815,0.0,1.0,0.040296710364018225,1.0,1.0,0.0,0.0
IND,2003,-0.143909424543381,-1.50999701023102,1.68649,0.0902929497644249,0.0,1.0,0.07538942828356246,1.0,1.0,0.0,0.0
IND,2004,-0.179698884487152,-1.28043293952942,1.97614,0.0883625867387574,0.04459176232049632,0.9554082376795037,0.06075831216680278,0.9792220513652093,0.9792220513652093,0.0,0.0
IND,2005,-0.0987746343016624,-1.01388049125671,2.38807,0.1123171810159615,0.054791070507623475,0.9452089294923766,0.10504862406394071,0.9741215475687607,0.9741215475687607,0.0,0.0
IND,2006,-0.0953764915466309,-1.06518423557281,2.8055,0.1898261687808164,0.0,1.0,0.14922440582389807,1.0,1.0,0.0,0.0
IND,2007,0.136991709470749,-1.15429580211639,3.95,0.218644067796616,0.0,1.0,0.2264825971754231,1.0,1.0,0.0,0.0
IND,2008,-0.0097329141572117,-1.10970735549927,4.38,0.3174633524537905,0.0,1.0,0.12634356366809887,1.0,1.0,0.0,0.0
